year,rank,title
2012년,75위,잊었니
2012년,76위,휘파람
2012년,77위,"77학개론 (Feat. 리쌍, 김진표)"
2012년,78위,그대 한 사람
2012년,79위,사랑은 눈꽃처럼
2012년,80위,아름다운 밤이야
2012년,81위,생각날거야
2012년,82위,HUSH
2012년,83위,Pandora
2012년,84위,One More Night
2012년,85위,나쁜놈 (Feat. 소야)
2012년,86위,2HOT
2012년,87위,Midnight (별 헤는 밤)
2012년,88위,우리 사랑했잖아
2012년,89위,베짱이 찬가
2012년,90위,사랑...어떡하나요
2012년,91위,안좋을때 들으면 더 안좋은 노래
2012년,92위,STILL ALIVE
2012년,93위,너도 나처럼
2012년,94위,한참 지나서
2012년,95위,"? (물음표) (Feat. 최자 of 다이나믹듀오, Zion.T)"
2012년,96위,귀여워 (With 권정열 of 10cm)
2012년,97위,사랑은 다 그런거래요
2012년,98위,말리꽃 (원곡가수 이승철)
2012년,99위,To You
2012년,100위,굿바이데이
2013년,1위,있다 없으니까 (Gone Not Around Any Longer)
2013년,2위,눈물샤워 (Feat. 에일리)
2013년,3위,눈물 (Feat. 유진 of 더 씨야)
2013년,4위,모노드라마 (With 유승우)
2013년,5위,거북이
2013년,6위,GENTLEMAN
2013년,7위,이름이 뭐예요?
2013년,8위,Give It To Me
2013년,9위,기대해
2013년,10위,봄봄봄
2013년,11위,겨울사랑
2013년,12위,Bounce
2013년,13위,My Love
2013년,14위,I GOT A BOY
2013년,15위,NoNoNo
2013년,16위,눈꽃
2013년,17위,Touch love
2013년,18위,녹는 중 (Feat. 버벌진트)
2013년,19위,지우개
2013년,20위,U&I;
2013년,21위,혼자라고 생각말기
2013년,22위,I`m Sorry
2013년,23위,Love Blossom (러브블러썸)
2013년,24위,으르렁 (Growl)
2013년,25위,빠빠빠
2013년,26위,모르시나요
2013년,27위,I Love You
2013년,28위,Crescendo (크레셴도)
2013년,29위,안녕 나야
2013년,30위,처음엔 사랑이란게
2013년,31위,싫다
2013년,32위,Rose
2013년,33위,착해 빠졌어 (Stupid in love)
2013년,34위,"Officially missing you, too"
2013년,35위,짧은머리
2013년,36위,오늘따라 보고싶어서 그래
2013년,37위,미친연애 (Bad Girl) (Feat. E-Sens of 슈프림팀)
2013년,38위,오늘 밤 (Feat. 배치기)
2013년,39위,YooHoo (유후)
2013년,40위,강북멋쟁이
2013년,41위,청혼하는 거예요
2013년,42위,벚꽃 엔딩
2013년,43위,아는사람 얘기
2013년,44위,BAAAM (Feat. Muzie of UV)
2013년,45위,삐딱하게 (Crooked)
2013년,46위,1440
2013년,47위,미치게 만들어
2013년,48위,너 하나야
2013년,49위,잘 있나요
2013년,50위,긴 생머리 그녀 (Miss Right)
2013년,51위,시작이 좋아 (Feat. 강민희 of 미스에스)
2013년,52위,All Right
2013년,53위,되돌리다
2013년,54위,Be OK (Feat. 배치기)
2013년,55위,나란놈이란
2013년,56위,"? (물음표) (Feat. 최자 of 다이나믹듀오, Zion.T)"
2013년,57위,미스코리아
2013년,58위,Goodbye To Romance
2013년,59위,어느 봄날
2013년,60위,분홍신
2013년,61위,꼭 한번 만나고 싶다
2013년,62위,Dream Girl
2013년,63위,어때 (Feat. 하림)
2013년,64위,Tell Me Tell Me
2013년,65위,그리고 하나
2013년,66위,Call Me Maybe
2013년,67위,Falling In Love
2013년,68위,너에게
2013년,69위,하지 못한 말
2013년,70위,Bad Girls
2013년,71위,좋아 (JOAH)
2013년,72위,둘이서 한잔해
2013년,73위,갖고놀래 (Feat. 다이나믹 듀오)
2013년,74위,이게 사랑이 아니면 (Feat. 에일리)
2013년,75위,행복하니 (Feat. 조현아 of 어반자카파)
2013년,76위,바빠 (Bad Boy)
2013년,77위,Wash Away (Feat. 에일리)
2013년,78위,첫 사랑니 (Rum Pum Pum Pum)
2013년,79위,잘할 걸
2013년,80위,웃다 울다
2013년,81위,어떤가요
2013년,82위,카페인 (Feat. 용준형 of Beast)
2013년,83위,Black (Feat. Jennie Kim of YG New Artis ..
2013년,84위,왜 이제야 왔니
2013년,85위,너 땜에 못살아 (Feat. 버벌진트)
2013년,86위,Special Girl (Feat. Bumkey)
2013년,87위,It`s Over
2013년,88위,외국인의 고백
2013년,89위,낮과 밤
2013년,90위,Somebody
2013년,91위,내일은 없어
2013년,92위,Man In Love (남자가 사랑할때)
2013년,93위,Dancing Queen
2013년,94위,우리가 헤어진 진짜 이유
2013년,95위,Hello (Feat. 버벌진트)
2013년,96위,이 나이 먹도록
2013년,97위,여자 대통령
2013년,98위,그대로 있어도 돼 (Feat. Crush)
2013년,99위,사랑은 타이밍
2013년,100위,매력있어
2014년,1위,썸 (Feat. 릴보이 of 긱스)
2014년,2위,야생화
2014년,3위,Something
2014년,4위,"눈, 코, 입"
2014년,5위,Mr. Chu (On Stage)
2014년,6위,금요일에 만나요 (Feat. 장이정 of HISTORY)
2014년,7위,한여름밤의 꿀
2014년,8위,너의 의미 (Feat. 김창완)
2014년,9위,Let It Go
2014년,10위,그 중에 그대를 만나
2014년,11위,200%
2014년,12위,Come Back Home
2014년,13위,짧은 치마 (Miniskirt)
2014년,14위,봄 사랑 벚꽃 말고
2014년,15위,그대가 분다
2014년,16위,노래가 늘었어
2014년,17위,너의 모든 순간
2014년,18위,사람냄새
2014년,19위,안녕
2014년,20위,너를 너를 너를
2014년,21위,까탈레나 (Catallena)
2014년,22위,Touch my body
2014년,23위,My Destiny
2014년,24위,너를 원해 (Feat. Beenzino)
2014년,25위,나의 옛날이야기
2014년,26위,인연
2014년,27위,예뻐졌다 (Feat. 지코 of Block B)
2014년,28위,보름달 (Feat. Lena)
2014년,29위,너 아님 안돼
2014년,30위,너 사용법
2014년,31위,Darling
2014년,32위,Give Love
2014년,33위,견딜만해 (Feat. 효린 of 씨스타)
2014년,34위,Mr.Mr.
2014년,35위,신촌을 못가
2014년,36위,단발머리 (Short Hair)
2014년,37위,중독 (Overdose)
2014년,38위,공허해
2014년,39위,흔한 노래
2014년,40위,Maps
2014년,41위,나 왜이래 (Feat. 강민희 of 미스에스)
2014년,42위,오늘 같은 눈물이
2014년,43위,뜨래요 (Feat. 앙리 of 3B)
2014년,44위,별처럼
2014년,45위,애타는 마음
2014년,46위,그런 남자
2014년,47위,Lost Stars
2014년,48위,너를 사랑해
2014년,49위,LA SONG
2014년,50위,Good-night Kiss
2014년,51위,살아 봤으면 해
2014년,52위,HER
2014년,53위,감아 (Feat. Crush)
2014년,54위,조금 이따 샤워해 (Feat. Crush)
2014년,55위,손대지마
2014년,56위,오늘부터 1일 (Day 1)
2014년,57위,How Long Will I Love You
2014년,58위,썸남썸녀 (Feat. 휘성)
2014년,59위,오늘 뭐해
